source,target,source_label,target_label
32021,49028356,Politics of the United States,Deep state in the United States
32021,5266241,Politics of the United States,Modern liberalism in the United States
32021,51147404,Politics of the United States,Political culture of the United States
480905,32021,Write-in candidate,Politics of the United States
1654632,32021,Culture of life,Politics of the United States
4958298,35329066,Catholic Church and politics in the United States,Latino vote
4958298,5266241,Catholic Church and politics in the United States,Modern liberalism in the United States
4973114,32021,AP United States Government and Politics,Politics of the United States
5266241,8939450,Modern liberalism in the United States,Liberalism in the United States
5266241,723054,Modern liberalism in the United States,Solid South
5266241,292269,Modern liberalism in the United States,Third Way
7436762,34056781,Term limits in the United States,Second Constitutional Convention of the United States
8869083,51056816,War as metaphor,War on Cops
8939450,5266241,Liberalism in the United States,Modern liberalism in the United States
25631554,5266241,Religion and politics in the United States,Modern liberalism in the United States
32174870,34056781,List of state applications for an Article V Convention,Second Constitutional Convention of the United States
34056781,7436762,Second Constitutional Convention of the United States,Term limits in the United States
35329066,4958298,Latino vote,Catholic Church and politics in the United States
35329066,32021,Latino vote,Politics of the United States
41375336,32021,Politics of New England,Politics of the United States
45241506,32021,Social media and political communication in the United States,Politics of the United States
51147404,32021,Political culture of the United States,Politics of the United States
